cell_id,count,mean,std,min,25%,50%,75%,max
9311,21.0,3.1904761904761907,1.4359334113755977,1.0,2.0,3.0,5.0,6.0
9312,22.0,4.863636363636363,2.3359601787509052,1.0,3.0,5.0,6.75,9.0
9313,23.0,4.521739130434782,2.936750913655047,1.0,2.0,3.0,7.0,10.0
9314,23.0,3.652173913043478,1.6951453585345608,1.0,2.5,4.0,4.5,7.0
9315,20.0,3.65,2.007223796297028,1.0,2.0,3.0,4.25,8.0
9316,23.0,2.608695652173913,1.6442497718573552,1.0,1.0,2.0,4.0,6.0
9317,22.0,3.772727272727273,2.2663547022396204,1.0,1.25,4.0,5.0,9.0
9318,20.0,2.7,1.5252264715358455,1.0,2.0,2.0,3.0,6.0
9319,23.0,2.4782608695652173,1.533550995606759,1.0,1.0,2.0,3.0,7.0
9320,22.0,2.1363636363636362,1.166821263721167,1.0,1.0,2.0,2.0,5.0
9321,21.0,2.4761904761904763,1.96517295979381,1.0,1.0,2.0,3.0,8.0
9322,21.0,2.142857142857143,1.1526367287968178,1.0,1.0,2.0,3.0,4.0
9323,20.0,2.2,0.8944271909999161,1.0,1.75,2.0,3.0,4.0
9324,18.0,2.2222222222222223,0.9428090415820635,1.0,2.0,2.0,3.0,4.0
9325,21.0,2.4285714285714284,1.6604646509766043,1.0,1.0,2.0,3.0,7.0
9326,21.0,2.142857142857143,0.9636241116594315,1.0,1.0,2.0,3.0,4.0
9327,20.0,2.85,1.1367080817685318,1.0,2.0,3.0,4.0,5.0
9328,20.0,2.6,1.4653901941300929,1.0,1.75,2.0,4.0,6.0
9329,22.0,2.5,1.8451996923807203,1.0,1.0,2.0,3.0,7.0
9330,20.0,2.3,1.341640786499874,1.0,1.0,2.0,3.0,6.0
9331,20.0,2.6,1.1424811411549587,1.0,2.0,2.5,3.0,5.0
9332,20.0,2.65,1.3088765773505315,1.0,2.0,2.0,4.0,5.0
9333,20.0,3.25,1.51744244666721,1.0,2.0,3.0,4.0,7.0
9334,18.0,2.388888888888889,1.4199788270537859,1.0,1.0,2.0,3.0,5.0
9335,20.0,3.2,1.9084300519426678,1.0,2.0,2.0,4.25,7.0
9336,19.0,3.0,1.8856180831641267,1.0,2.0,3.0,3.5,8.0
9337,22.0,2.227272727272727,1.3068252399583533,1.0,1.0,2.0,3.0,5.0
9338,20.0,2.6,1.391704747876919,1.0,2.0,2.0,4.0,5.0
9339,21.0,2.142857142857143,1.3147514702678331,1.0,1.0,2.0,3.0,5.0
9340,21.0,2.4761904761904763,1.123345344008138,1.0,2.0,2.0,3.0,5.0
9341,20.0,2.75,1.8883298106221302,1.0,1.0,2.5,3.25,7.0
9342,21.0,2.6666666666666665,1.7416467303484175,1.0,1.0,2.0,4.0,8.0
9343,21.0,2.761904761904762,1.5134319246256802,1.0,2.0,2.0,4.0,6.0
9344,16.0,1.75,0.6831300510639732,1.0,1.0,2.0,2.0,3.0
9345,21.0,2.0,0.7745966692414834,1.0,1.0,2.0,3.0,3.0
9346,15.0,1.6,1.0555973258234952,1.0,1.0,1.0,2.0,4.0
9347,20.0,1.75,0.6386663736585051,1.0,1.0,2.0,2.0,3.0
9348,22.0,1.4545454545454546,0.5096471914376255,1.0,1.0,1.0,2.0,2.0
9349,16.0,1.8125,0.8341662504161466,1.0,1.0,2.0,2.25,3.0
9350,18.0,1.8333333333333333,0.7859052479933759,1.0,1.0,2.0,2.0,4.0
9351,22.0,1.4545454545454546,0.8004327833694976,1.0,1.0,1.0,2.0,4.0
9352,19.0,1.894736842105263,0.8752610304046613,1.0,1.0,2.0,2.0,4.0
9353,21.0,1.9523809523809523,1.2031704150364766,1.0,1.0,1.0,3.0,5.0
9354,12.0,1.3333333333333333,0.492365963917331,1.0,1.0,1.0,2.0,2.0
9355,17.0,1.8235294117647058,1.0744355563298724,1.0,1.0,1.0,2.0,4.0
9356,19.0,1.8421052631578947,1.0145145470035761,1.0,1.0,2.0,2.0,5.0
9357,17.0,1.411764705882353,0.7952062255644572,1.0,1.0,1.0,2.0,4.0
